name,matrix_sku,taxable,description,isFood,parent_sku
INDIANA,00000,0,Non-Taxable Goods,0,DEFAULT
INDIANA,10010,1,Charges by the seller for any services necessary to complete the sale other than delivery and installation.,0,SP
INDIANA,10040,0,Installation charges,0,SP
INDIANA,10060,0,Value of trade-in,0,SP
INDIANA,10070,0,Telecommunication nonrecurring charges,0,SP
INDIANA,10080,1,Employee discounts that are reimbursed by a third party on sales of motor vehicles.,0,SP
INDIANA,10085,1,Manufacturer rebates on motor vehicles.,0,SP
INDIANA,10090,1,"All coupons issued by a manufacturer, supplier, or distributor of a product that entitle the purchaser to a reduction in sales price and allowed by the seller who is reimbursed by the manufacturer, supplier or distributor.",0,SP
INDIANA,11000,1,"Handling, crating, packing, preparation for mailing or delivery, and similar charges",0,DC
INDIANA,11010,1,"Transportation, shipping, postage, and similar charges",0,DC
INDIANA,11015,1,"Delivery charges involving or related to the sale of electricity, natural gas, or artificial gas by a utility, as â€œutilityâ€ is defined by the state.",0,DCDD
INDIANA,11020,1,"Handling, crating, packing, preparation for mailing or delivery, and similar charges for direct mail",0,DCDD
INDIANA,11021,1,"Transportation, shipping, postage, and similar charges for direct mail",0,DCDD
INDIANA,11022,0,Postage for direct mail,0,DCDD
INDIANA,11110,1,Gross Receipts Liquor,0,SP
INDIANA,11120,1,Tribal Taxes,0,SP
INDIANA,11130,0,Diesel fuel and special fuels excise taxes,0,DCDD
INDIANA,20010,1,Clothing,0,APP
INDIANA,20011,0,Diapers - Childrens,0,APP
INDIANA,20012,1,Diapers - Adults,0,APP
INDIANA,20015,1,Essential clothing priced below a state specific threshold,0,APP
INDIANA,20020,1,Clothing Accessories or Equipment,0,APP
INDIANA,20030,1,Protective Equipment,0,APP
INDIANA,20040,1,Sport or Recreational Equipment,0,APP
INDIANA,20050,1,Fur clothing,0,APP
INDIANA,20060,1,All Energy star qualified products,0,SP
INDIANA,20070,1,School supply,0,SP
INDIANA,20080,1,School art supply,0,SP
INDIANA,20090,1,School instructional material,0,SP
INDIANA,20100,1,School computer supply,0,SP
INDIANA,20105,1,All WaterSense products.,0,SP
INDIANA,20150,1,All Disaster Preparedness Supply,0,SP
INDIANA,20160,1,Specific Disaster preparedness general supply,0,SP
INDIANA,20170,1,Specific Disaster preparedness safety supply,0,SP
INDIANA,20180,1,Specific Disaster preparedness food-related supply,0,SP
INDIANA,20190,1,Specific Disaster preparedness fastening supply,0,SP
INDIANA,30015,0,Non-Prewritten (custom) computer software,0,COMP
INDIANA,30025,0,Non-Prewritten (custom) computer software delivered electronically,0,COMP
INDIANA,30035,0,Non-Prewritten (custom) computer software delivered via load and leave,0,COMP
INDIANA,30040,1,Prewritten computer software,0,COMP
INDIANA,30050,1,Prewritten computer software delivered electronically,0,COMP
INDIANA,30060,1,Prewritten computer software delivered via load and leave,0,COMP
INDIANA,30100,1,Computer,0,COMP
INDIANA,30200,1,Mandatory computer software maintenance contracts with respect to prewritten computer software,0,COMP
INDIANA,30210,1,Mandatory computer software maintenance contracts with respect to prewritten computer software which is delivered electronically,0,COMP
INDIANA,30220,1,Mandatory computer software maintenance contracts with respect to prewritten computer software which is delivered via load and leave,0,COMP
INDIANA,30230,0,Mandatory computer software maintenance contracts with respect to non-prewritten (custom) computer software,0,COMP
INDIANA,30240,0,Mandatory computer software maintenance contracts with respect to non-prewritten (custom) software which is delivered electronically,0,COMP
INDIANA,30250,0,Mandatory computer software maintenance contracts with respect to non-prewritten (custom) software which is delivered via load and leave,0,COMP
INDIANA,30300,1,Optional computer software maintenance contracts with respect to prewritten computer software that only provide updates or upgrades with respect to the software,0,COMP
INDIANA,30310,1,Optional computer software maintenance contracts with respect to prewritten computer software that only provide updates or upgrades delivered electronically with respect to the software,0,COMP
INDIANA,30320,1,Optional computer software maintenance contracts with respect to prewritten computer software that only provide updates or upgrades delivered via load and leave with respect to the software,0,COMP
INDIANA,30330,0,Optional computer software maintenance contracts with respect to non-prewritten (custom) computer software that only provide updates or upgrades with respect to the software,0,COMP
INDIANA,30340,0,Optional computer software maintenance contracts with respect to non-prewritten (custom) computer software that only provide updates or upgrades delivered electronically with respect to the software,0,COMP
INDIANA,30350,0,Optional computer software maintenance contracts with respect to non-prewritten (custom) computer software that only provide updates or upgrades delivered via load and leave with respect to the software,0,COMP
INDIANA,30360,0,Optional computer software maintenance contracts with respect to non-prewritten (custom) computer software that only provide support services to the software,0,COMP
INDIANA,30370,0,Optional computer software maintenance contracts with respect to non-prewritten (custom) computer software that provide updates or upgrades and support services to the software,0,COMP
INDIANA,30380,0,Optional computer software maintenance contracts with respect to non-prewritten (custom) computer software that provide updates or upgrades delivered electronically and support services to the software,0,COMP
INDIANA,30390,0,Optional computer software maintenance contracts with respect to non-prewritten (custom) computer software provide updates or upgrades delivered via load and leave and support services to the software,0,COMP
INDIANA,30400,1,Optional computer software maintenance contracts with respect to prewritten computer software that provide updates or upgrades and support services to the software,0,COMP
INDIANA,30410,1,Optional computer software maintenance contracts with respect to prewritten computer software that provide updates and upgrades delivered electronically and support services to the software,0,COMP
INDIANA,30420,1,Optional computer software maintenance contracts with respect to prewritten computer software that provide updates and upgrades delivered via load and leave and support services to the software,0,COMP
INDIANA,30430,0,Optional computer software maintenance contracts with respect to prewritten computer software that only provide support services to the software,0,COMP
INDIANA,31000,0,Products Transferred Electronically,0,DIG
INDIANA,31040,1,Digital Audio Visual Works (with rights for permanent use),0,DIG
INDIANA,31050,0,Digital Audio Visual Works (with rights of less than permanent use),0,DIG
INDIANA,31060,0,Digital Audio Visual Works (with rights conditioned on continued payments),0,DIG
INDIANA,31065,0,Digital Audio Visual Works sold to users other than the end user,0,DIG
INDIANA,31070,1,Digital Audio Works (with rights for permanent use),0,DIG
INDIANA,31080,0,Digital Audio Works (with rights of less than permanent use),0,DIG
INDIANA,31090,0,Digital Audio Works (with rights conditioned on continued payments),0,DIG
INDIANA,31095,0,Digital Audio Works sold to users other than the end user,0,DIG
INDIANA,31100,1,Digital Books (with rights for permanent use),0,DIG
INDIANA,31110,0,Digital Books (with rights of less than permanent use),0,DIG
INDIANA,31120,0,Digital Books (with rights conditioned on continued payments),0,DIG
INDIANA,31121,0,Does your state treat subscriptions to products transferred electronically differently than a non-subscription purchase of such product,0,DIG
INDIANA,31125,0,Digital Books sold to users other than the end user,0,DIG
INDIANA,32000,1,Digital Textbooks - used in a course of study,0,DIG
INDIANA,40010,1,Candy,0,FOOD
INDIANA,40015,1,Dried or partially dried fruit that contains one or more sweeteners and may also contain other additives,1,FOOD
INDIANA,40020,1,Dietary Supplements,0,FOOD
INDIANA,40030,0,Food and food ingredients excluding alcoholic beverages and tobacco,0,FOOD
INDIANA,40040,0,Food sold through vending machines,0,FOOD
INDIANA,40050,1,Soft Drinks,0,FOOD
INDIANA,40060,0,Bottled Water,0,FOOD
INDIANA,41000,1,Prepared food,0,FOOD
INDIANA,410011,0,Bottled Water,0,FOOD
INDIANA,41010,0,"Food sold without eating utensils provided by the seller whose primary NAICS classification is manufacturing in sector 311, except subsector 3118",0,PREPFOOD
INDIANA,41020,0,Food sold without eating utensils provided by the seller in an unheated state by weight or volume as a single item,0,PREPFOOD
INDIANA,41025,0,Meat or seafood products that meet the definition of prepared food sold without eating utensils provided by the seller in an unheated state by weight or volume as a single item,0,PREPFOOD
INDIANA,41030,0,"Bakery items sold without eating utensils provided by the seller, including bread, rolls, buns, biscuits, bagels, croissants, pastries, donuts, Danish, cakes, tortes, pies, tarts, muffins, bars, cookies, tortillas",0,PREPFOOD
